# varP sTime tTime cTime
# ----------------
1, 14.600, 0.650, 17.650
6, 14.275, 0.900, 15.183
11, 13.218, 0.000, 14.005
16, 13.147, 0.006, 13.981
21, 13.262, 0.000, 13.995
26, 13.367, 0.004, 14.019
31, 13.318, 0.002, 13.945
36, 13.465, 0.032, 14.053
41, 13.113, 0.000, 13.588
46, 13.136, 0.004, 13.632
51, 13.105, 0.002, 13.629
